lr, epoch, dim, bootstrap, acc, acc_test, t 
0.2,20,5000,0.25,0.999038,0.967908,2.217866
0.2,20,5000,0.5,0.995511,0.969191,2.300764
0.2,20,7500,0.25,0.999198,0.971117,3.272350
0.2,20,7500,0.5,0.996473,0.972400,2.774489
0.2,20,10000,0.25,0.999519,0.968549,3.679660
0.2,20,10000,0.5,0.995831,0.970475,3.470488
0.2,40,5000,0.25,1.000000,0.968549,3.802198
0.2,40,5000,0.5,0.999198,0.972400,3.422274
0.2,40,7500,0.25,1.000000,0.969833,4.879762
0.2,40,7500,0.5,0.999198,0.967266,4.714669
0.2,40,10000,0.25,1.000000,0.971117,6.251734
0.2,40,10000,0.5,0.999359,0.968549,5.769544
0.2,60,5000,0.25,1.000000,0.971117,4.869122
0.2,60,5000,0.5,0.999679,0.971759,4.444119
0.2,60,7500,0.25,1.000000,0.969191,6.646128
0.2,60,7500,0.5,0.999679,0.969191,6.235836
0.2,60,10000,0.25,1.000000,0.969833,9.749046
0.2,60,10000,0.5,0.999840,0.967908,8.065724
0.3,20,5000,0.25,0.999519,0.969833,2.257311
0.3,20,5000,0.5,0.995671,0.969191,2.155840
0.3,20,7500,0.25,0.999359,0.967266,3.059790
0.3,20,7500,0.5,0.996312,0.973042,2.688764
0.3,20,10000,0.25,0.999198,0.967908,3.825855
0.3,20,10000,0.5,0.994869,0.967266,3.359350
0.3,40,5000,0.25,1.000000,0.971117,3.372226
0.3,40,5000,0.5,0.999359,0.969191,3.163007
0.3,40,7500,0.25,1.000000,0.971759,4.422661
0.3,40,7500,0.5,0.999359,0.969833,4.351136
0.3,40,10000,0.25,1.000000,0.971759,6.782635
0.3,40,10000,0.5,0.999359,0.969833,6.753767
0.3,60,5000,0.25,1.000000,0.969833,5.108219
0.3,60,5000,0.5,0.999840,0.970475,4.863437
0.3,60,7500,0.25,1.000000,0.969191,6.621127
0.3,60,7500,0.5,0.999840,0.967908,6.147756
0.3,60,10000,0.25,1.000000,0.969833,7.626684
0.3,60,10000,0.5,0.999519,0.969191,7.069448
0.4,20,5000,0.25,0.999038,0.967266,2.451324
0.4,20,5000,0.5,0.996152,0.967908,2.227817
0.4,20,7500,0.25,0.998878,0.970475,3.202337
0.4,20,7500,0.5,0.995992,0.968549,2.733403
0.4,20,10000,0.25,0.999038,0.967908,3.912697
0.4,20,10000,0.5,0.995992,0.969833,3.840996
0.4,40,5000,0.25,1.000000,0.967266,3.789295
0.4,40,5000,0.5,0.999359,0.969833,3.458516
0.4,40,7500,0.25,1.000000,0.967908,4.908660
0.4,40,7500,0.5,0.999359,0.971117,4.557758
0.4,40,10000,0.25,1.000000,0.968549,6.236141
0.4,40,10000,0.5,0.999359,0.971117,5.678183
0.4,60,5000,0.25,1.000000,0.968549,4.597924
0.4,60,5000,0.5,0.999679,0.969833,4.784935
0.4,60,7500,0.25,1.000000,0.969833,6.866158
0.4,60,7500,0.5,0.999679,0.968549,6.490056
0.4,60,10000,0.25,1.000000,0.971759,8.452108
0.4,60,10000,0.5,0.999519,0.969191,7.863848
0.5,20,5000,0.25,0.999038,0.967908,2.566185
0.5,20,5000,0.5,0.995511,0.969833,2.291772
0.5,20,7500,0.25,0.999198,0.969833,3.444292
0.5,20,7500,0.5,0.995511,0.969833,3.046364
0.5,20,10000,0.25,0.999359,0.971117,4.241569
0.5,20,10000,0.5,0.996473,0.973042,3.885147
0.5,40,5000,0.25,1.000000,0.968549,3.873155
0.5,40,5000,0.5,0.999359,0.970475,3.587470
0.5,40,7500,0.25,1.000000,0.970475,5.123832
0.5,40,7500,0.5,0.999359,0.969833,4.850718
0.5,40,10000,0.25,1.000000,0.971117,6.443927
0.5,40,10000,0.5,0.999359,0.968549,5.987767
0.5,60,5000,0.25,1.000000,0.967908,5.100083
0.5,60,5000,0.5,0.999840,0.968549,4.994572
0.5,60,7500,0.25,1.000000,0.969833,6.748767
0.5,60,7500,0.5,0.999840,0.968549,6.381102
0.5,60,10000,0.25,1.000000,0.969833,8.397978
0.5,60,10000,0.5,0.999679,0.969833,7.820169
